company_id,img,model,src_link
211,https://ic1.maxabout.us/autos/cars_india//N/2022/4/new-volkswagen-t-roc-price-in-india.jpg/thumb/120,T-Roc,https://autos.maxabout.com/cars/volkswagen/t-roc
211,https://ic1.maxabout.us/autos/cars_india//N/2022/4/new-volkswagen-taigun-price-in-india.jpg/thumb/120,Taigun,https://autos.maxabout.com/cars/volkswagen/taigun
211,https://ic1.maxabout.us/autos/cars_india//N/2022/4/new-volkswagen-tiguan-price-in-india-0.jpg/thumb/120,Tiguan,https://autos.maxabout.com/cars/volkswagen/tiguan
211,https://ic1.maxabout.us/autos/cars_india//N/2022/4/new-volkswagen-vento-price-in-india.jpg/thumb/120,Vento,https://autos.maxabout.com/cars/volkswagen/vento
211,https://ic1.maxabout.us/autos/cars_india//V/2014/10/volkswagen-vento-tsi-p2.jpg/thumb/120,Vento TSi,https://autos.maxabout.com/cars/volkswagen/vento-tsi
211,https://ic1.maxabout.us/autos/cars_india//N/2022/6/new-volkswagen-virtus-price-in-india.jpg/thumb/120,Virtus,https://autos.maxabout.com/cars/volkswagen/virtus
212,https://ic1.maxabout.us/autos/cars_india//V/2017/11/volvo-s60-r-design-new.jpg/thumb/120,S60,https://autos.maxabout.com/cars/volvo/s60
212,https://ic1.maxabout.us/autos/cars_india/volvo-30/s80-122-s80-d5diesel.jpg/thumb/120,S80,https://autos.maxabout.com/cars/volvo/s80
212,https://ic1.maxabout.us/autos/cars_india//V/2017/11/volvo-s90-new.jpg/thumb/120,S90,https://autos.maxabout.com/cars/volvo/s90
212,https://ic1.maxabout.us/autos/cars_india//V/2017/11/volvo-v40-cross-country.jpg/thumb/120,V40,https://autos.maxabout.com/cars/volvo/v40
212,https://ic1.maxabout.us/autos/cars_india//V/2017/11/volvo-v90-cross-country-new.jpg/thumb/120,V90,https://autos.maxabout.com/cars/volvo/v90
212,https://ic1.maxabout.us/autos/cars_india/volvo-30/xc60-211-2012-new-xc60-d5-diesel2.jpg/thumb/120,XC60,https://autos.maxabout.com/cars/volvo/xc60
212,https://ic1.maxabout.us/autos/cars_india//V/2017/11/volvo-xc90-inscription.jpg/thumb/120,XC90,https://autos.maxabout.com/cars/volvo/xc90
