link,title,logo_img,company_name,model_count,model_img,model_link,model_name,price_range
https://autos.maxabout.com/bikes/bajaj,Bajaj Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//L/2020/5/latest-bajaj-bikes-india.jpg/,Bajaj,45,https://ic1.maxabout.us/autos/tw_india//N/2022/2/new-bajaj-pulsar-ns125-price-in-india.jpg/thumb/120,https://autos.maxabout.com/bikes/bajaj/pulsar,Bajaj Pulsar,"₹ 81,389 - ₹ 2,20,000"
https://autos.maxabout.com/bikes/battre,BattRE Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//B/2019/7/battre.jpg/,BattRE,1,https://ic1.maxabout.us/autos/tw_india//N/2021/11/new-battre-one.jpg/thumb/120,https://autos.maxabout.com/bikes/battre/electric-scooter,BattRE Electric Scooter,"₹ 64,900 - ₹ 75,900"
https://autos.maxabout.com/bikes/benelli,Benelli Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//B/2017/6/benelli-autos-maxabout.jpg/,Benelli,15,https://ic1.maxabout.us/autos/tw_india//N/2022/6/new-benelli-302r-price-in-india.jpg/thumb/120,https://autos.maxabout.com/bikes/benelli/tornado,Benelli 300,"₹ 2,80,000 - ₹ 3,25,000"
https://autos.maxabout.com/bikes/benelli,Benelli Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//B/2017/6/benelli-autos-maxabout.jpg/,Benelli,15,https://ic1.maxabout.us/autos/tw_india//N/2022/8/new-benelli-imperiale-400-price-in-india.jpg/thumb/120,https://autos.maxabout.com/bikes/benelli/imperiale,Benelli Imperiale,"₹ 2,09,000 - ₹ 2,14,000"
https://autos.maxabout.com/bikes/benelli,Benelli Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//B/2017/6/benelli-autos-maxabout.jpg/,Benelli,15,https://ic1.maxabout.us/autos/tw_india//N/2022/8/new-benelli-leoncino-500-price-in-india.jpg/thumb/120,https://autos.maxabout.com/bikes/benelli/leoncino,Benelli Leoncino,"₹ 2,70,000 - ₹ 7,00,000"
https://autos.maxabout.com/bikes/benelli,Benelli Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//B/2017/6/benelli-autos-maxabout.jpg/,Benelli,15,https://ic1.maxabout.us/autos/tw_india//B/2017/10/benelli-tnt-25-bikes-maxabout.jpg/thumb/120,https://autos.maxabout.com/bikes/benelli/tnt,Benelli TNT,"₹ 1,20,000 - ₹ 11,86,000"
https://autos.maxabout.com/bikes/benelli,Benelli Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//B/2017/6/benelli-autos-maxabout.jpg/,Benelli,15,https://ic1.maxabout.us/autos/tw_india//N/2022/8/new-benelli-trk-502-price-in-india.jpg/thumb/120,https://autos.maxabout.com/bikes/benelli/trk,Benelli TRK,"₹ 2,73,000 - ₹ 5,89,000"
https://autos.maxabout.com/bikes/big-dog,Big Dog Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//B/2016/11/big-dog-motorcycles.jpg/,Big Dog,1,https://ic1.maxabout.us/autos/tw_india//B/2017/6/big-dog-k9-autos-maxabout.jpg/thumb/120,https://autos.maxabout.com/bikes/big-dog/k9,Big Dog K9,"₹ 59,00,000"
https://autos.maxabout.com/bikes/bmw,BMW Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//B/2018/5/bmw-bikes-maxabout.jpg/,BMW,16,https://ic1.maxabout.us/autos/tw_india//B/2020/5/bmw-f900r.jpg/thumb/120,https://autos.maxabout.com/bikes/bmw/f900,BMW F900,"₹ 10,80,000 - ₹ 12,30,000"
https://autos.maxabout.com/bikes/bmw,BMW Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//B/2018/5/bmw-bikes-maxabout.jpg/,BMW,16,https://ic1.maxabout.us/autos/tw_india//2/2022/7/2022-new-bmw-g310r-price-in-india.jpg/thumb/120,https://autos.maxabout.com/bikes/bmw/g310,BMW G310,"₹ 2,60,000 - ₹ 3,30,000"
https://autos.maxabout.com/bikes/bmw,BMW Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//B/2018/5/bmw-bikes-maxabout.jpg/,BMW,16,https://ic1.maxabout.us/autos/tw_india//B/2016/4/bmw-k1600gtl-p.jpg/thumb/120,https://autos.maxabout.com/bikes/bmw/k1600,BMW K1600,"₹ 28,70,000 - ₹ 33,21,000"
https://autos.maxabout.com/bikes/bmw,BMW Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//B/2018/5/bmw-bikes-maxabout.jpg/,BMW,16,https://ic1.maxabout.us/autos/tw_india//B/2021/3/bmw-m1000rr.jpg/thumb/120,https://autos.maxabout.com/bikes/bmw/m1000,BMW M1000,"₹ 42,00,000 - ₹ 45,00,000"
https://autos.maxabout.com/bikes/bmw,BMW Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//B/2018/5/bmw-bikes-maxabout.jpg/,BMW,16,https://ic1.maxabout.us/autos/tw_india//2/2021/3/2021-bmw-r-ninet.jpg/thumb/120,https://autos.maxabout.com/bikes/bmw/heritage,BMW R,"₹ 16,65,000 - ₹ 18,50,000"
