link,title,logo_img,company_name,model_count
https://autos.maxabout.com/bikes/kawasaki,Kawasaki Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//K/2017/6/kawasaki-autos-maxabout.jpg/,Kawasaki,24
https://autos.maxabout.com/bikes/keeway,Keeway Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//K/2014/12/keeway-logo-p.jpg/,Keeway,6
https://autos.maxabout.com/bikes/kinetic,Kinetic Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos/kinetic-5.jpg/,Kinetic,16
https://autos.maxabout.com/bikes/komaki,Komaki Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//Y/2015/2/yash-logo.jpg/,Komaki,1
https://autos.maxabout.com/bikes/krisaki,Krisaki Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//K/2015/2/krisaki-logo.jpg/,Krisaki,13
https://autos.maxabout.com/bikes/ktm,KTM Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//K/2018/6/ktm-sport-bikes-in-india.jpg/,KTM,11
https://autos.maxabout.com/bikes/lambretta,Lambretta Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//L/2017/11/lambretta-india-scooters.jpg/,Lambretta,1
https://autos.maxabout.com/bikes/lectrix,Lectrix Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos/lectrix-47.jpg/,Lectrix,1
https://autos.maxabout.com/bikes/li-ions-elektrik,Li-ions Elektrik Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//L/2019/7/li-ions-elektrik.jpg/,Li-ions Elektrik,1
https://autos.maxabout.com/bikes/lml,LML Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos/lml-6.jpg/,LML,7
https://autos.maxabout.com/bikes/lohia,Lohia Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos/lohia-41.jpg/,Lohia,3
https://autos.maxabout.com/bikes/mahindra,Mahindra Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos/mahindra-44.jpg/,Mahindra,15
